title,author,length
The Fellowship of the Ring,J. R. R. Tolkien,Length: 19 hrs and 7 mins
The Fake Out,Stephanie Archer,Length: 12 hrs and 24 mins
The First Quest,Virgil Knightley,Length: 16 hrs and 31 mins
Take Control of Your Life,Mel Robbins,Length: 10 hrs and 3 mins
The Singularity Is Nearer,Ray Kurzweil,Length: 18 hrs
The Naked Clone,"Conor Lastowka,Michael J. Nelson,Kevin Murphy,Bill Corbett,Sean Thomason",Length: 3 hrs and 54 mins
The Final Empire,Brandon Sanderson,Length: 24 hrs and 39 mins
Aubrey McFadden Is Never Getting Married,Georgia Beers,Length: 8 hrs and 57 mins
Igniting His Obsession,Stephanie Nicole Norris,Length: 5 hrs and 7 mins
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,Tess Lake,Length: 65 hrs and 31 mins
The Primal Hunter 8,Zogarth,Length: 19 hrs and 50 mins
The Wealth Money Can't Buy,Robin Sharma,Length: 8 hrs and 26 mins
Wolf Mate,Jen L. Grey,Length: 10 hrs and 31 mins
The Hunter,Tana French,Length: 16 hrs and 24 mins
I'm Glad My Mom Died,Jennette McCurdy,Length: 6 hrs and 26 mins
The Stranger in Her House,John Marrs,Length: 10 hrs and 11 mins
Falling for Raine,Lane Hayes,Length: 6 hrs and 15 mins
The Psychology of Money,Morgan Housel,Length: 5 hrs and 55 mins
Heir of Fire,Sarah J. Maas,Length: 17 hrs and 56 mins
He Who Fights with Monsters 9,"Shirtaloon,Travis Deverell",Length: 28 hrs and 3 mins
Something Unexpected,Vi Keeland,Length: 8 hrs and 39 mins
The Eye of the Bedlam Bride,Matt Dinniman,Length: 26 hrs and 46 mins
Forbidden Shifters Complete Series (Books 1-6),Selena Scott,Length: 54 hrs and 5 mins
Empath and Narcissist: 2 in 1,Sara Sterling,Length: 26 hrs and 28 mins
Come As You Are: Revised and Updated,Emily Nagoski PhD,Length: 11 hrs and 30 mins
Iron Flame,Rebecca Yarros,Length: 28 hrs and 16 mins
Demon Copperhead,Barbara Kingsolver,Length: 21 hrs and 3 mins
Unfu*k Yourself,Gary John Bishop,Length: 3 hrs and 24 mins
The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins
Ready Player Two,Ernest Cline,Length: 13 hrs and 46 mins
The Woman in Me,Britney Spears,Length: 5 hrs and 31 mins
Iron Gold,Pierce Brown,Length: 23 hrs and 23 mins
The Au Pair Affair,Tessa Bailey,Length: 12 hrs
Dragonfired,J. Zachary Pike,Length: 22 hrs and 9 mins
Spare,Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
The Case of the Case of Kilcladdich,PJ Fitzsimmons,Length: 6 hrs and 6 mins
Light Bringer,Pierce Brown,Length: 30 hrs and 8 mins
Path of Time Deviant Book 2,"A.P. Gore,Patricia Jones",Length: 15 hrs and 7 mins
Eldest,Christopher Paolini,Length: 23 hrs and 30 mins
A People's History of the United States,Howard Zinn,Length: 34 hrs and 8 mins
If only I had told her (German edition),"Laura Nowlin,Melike Karamustafa,Bettina Hengesbach - Übersetzer",Length: 10 hrs and 31 mins
In Sunshine or in Shadow,"Rhys Bowen,Clare Broyles",Length: 8 hrs and 56 mins
A Dance with Dragons,George R.R. Martin,Length: 48 hrs and 55 mins
The Crypt: Shakedown,Scott Sigler,Length: 16 hrs and 57 mins
Red Company: Invasion,B.V. Larson,Length: 9 hrs and 40 mins
The Way of Kings,Brandon Sanderson,Length: 45 hrs and 30 mins
The Secret of the Lady's Maid,Darcie Wilde,Length: 12 hrs and 24 mins
The Trackers Series Box Set,Nicholas Sansbury Smith,Length: 33 hrs and 59 mins
The Last Olympian,Rick Riordan,Length: 11 hrs
The Crimson Deathbringer Series Six-Book Box Set,Sean Robins,Length: 51 hrs and 14 mins
A Kiss of Iron,Clare Sager,Length: 19 hrs and 6 mins
Lord of Chaos,Robert Jordan,Length: 41 hrs and 32 mins
Dune: The Butlerian Jihad,"Brian Herbert,Kevin J. Anderson",Length: 23 hrs and 41 mins
Outlive,"Peter Attia MD,Bill Gifford - contributor",Length: 17 hrs and 7 mins
Jack on a Wire,Diane Capri,Length: 7 hrs and 8 mins
"Azarinth Healer, Book Three",Rhaegar,Length: 29 hrs and 23 mins
A Court of Thorns and Roses,Sarah J. Maas,Length: 16 hrs and 7 mins
Elon Musk,Walter Isaacson,Length: 20 hrs and 39 mins
The Return of the King,J. R. R. Tolkien,Length: 21 hrs and 52 mins
The Battle of the Labyrinth,Rick Riordan,Length: 10 hrs and 31 mins
The Witch Between Worlds: 10 Book Epic Fantasy Box Set,Emma Glass,Length: 69 hrs and 17 mins
Mother Maker,Jenni Bara,Length: 8 hrs and 33 mins
The Women,Kristin Hannah,Length: 14 hrs and 57 mins
Hell Divers III: Deliverance,Nicholas Sansbury Smith,Length: 11 hrs and 18 mins
Just a Bit Wrecked,Alessandra Hazard,Length: 5 hrs and 50 mins
A Little Tempting,Kelsie Rae,Length: 13 hrs and 6 mins
The Ballad of Songbirds and Snakes,Suzanne Collins,Length: 16 hrs and 16 mins
Good Inside,Becky Kennedy,Length: 9 hrs and 55 mins
The Firelighters,Christopher G. Nuttall,Length: 12 hrs and 31 mins
Driven by Destiny,Lindsay Buroker,Length: 9 hrs and 54 mins
Now's the Time,Harlow James,Length: 9 hrs and 40 mins
The Primal Hunter 7 - A LitRPG Adventure,Zogarth,Length: 17 hrs and 49 mins
The Lies We Steal,Monty Jay,Length: 10 hrs and 34 mins
Claim Me Forever,A.L. Jackson,Length: 13 hrs and 21 mins
Meditations,"Marcus Aurelius,George Long - translator,Duncan Steen - translator",Length: 5 hrs and 9 mins
Demigod 12,Gail Carriger,Length: 11 hrs and 16 mins
It Starts with Us,Colleen Hoover,Length: 8 hrs and 41 mins
The Step Bet,"Devon McCormack,Riley Hart",Length: 7 hrs and 32 mins
A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 8 hrs and 26 mins
My Dark Desire,"L.J. Shen,Parker S. Huntington",Length: 17 hrs and 1 min
Atomic Attraction: The Psychology of Attraction,Christopher Canwell,Length: 7 hrs and 7 mins
Tequila Tuesdays,J. L. Brannick,Length: 8 hrs and 23 mins
The Return of the King,J. R. R. Tolkien,Length: 18 hrs and 19 mins
Inheritance,Christopher Paolini,Length: 31 hrs and 17 mins
Cozy Witch Mysteries: Special Edition Box Set of 8 Books,Angela Pepper,Length: 77 hrs
The Keeper Chronicles: The Complete Trilogy,JA Andrews,Length: 46 hrs and 32 mins
El Poder Frente A La Fuerza [The Power Facing The Force],"David Hawkins,Miguel Iribarren - translator",Length: 11 hrs and 19 mins
The Rise and Fall of the Third Reich,William L. Shirer,Length: 57 hrs and 11 mins
The Reason I Married Him,Meghan Quinn,Length: 16 hrs and 5 mins
Dahlias: Seed to Bloom,"Kristine Albrecht,Brion Sprinsock",Length: 8 hrs and 47 mins
How to Talk to Anyone,Leil Lowndes,Length: 8 hrs and 59 mins
Crosshairs,"James Patterson,James O. Born",Length: 8 hrs and 14 mins
A Court of Thorns and Roses (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 5 hrs and 51 mins
Elevate and Dominate,"Deion Sanders,Don Yaeger,John C. Maxwell - foreword",Length: 9 hrs and 5 mins
My Story Your Glory,"Matthew West,Matt Litton - contributor",Length: 3 hrs and 18 mins
System Collapse (Dramatized Adaptation),Martha Wells,Length: 5 hrs
Lone Wolf,Gregg Hurwitz,Length: 13 hrs and 13 mins
The Body Keeps the Score,Bessel A. van der Kolk,Length: 16 hrs and 15 mins
Too Late,Colleen Hoover,Length: 10 hrs and 19 mins
Killing Time,Jodi Taylor,Length: 10 hrs
The Friendship Club,Robyn Carr,Length: 9 hrs and 49 mins
Butcher & Blackbird,Brynne Weaver,Length: 8 hrs and 43 mins
Magus of the North,Cale Plamann,Length: 12 hrs and 17 mins
The Last Adventure,"Maxime J. Durand,Void Herald",Length: 15 hrs and 38 mins
A Court of Thorns and Roses (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 6 hrs and 4 mins
Marriage Lynx,Fiona Quinn,Length: 9 hrs and 7 mins
Slayers: A Buffyverse Story,"Christopher Golden,Amber Benson",Length: 8 hrs and 2 mins
The Dragon's Blade Trilogy,Michael R. Miller,Length: 45 hrs and 58 mins
Fae and Fare,pirateaba,Length: 61 hrs and 4 mins
Remarkably Bright Creatures,Shelby Van Pelt,Length: 11 hrs and 16 mins
Brisingr,Christopher Paolini,Length: 29 hrs and 34 mins
The Sea of Monsters,Rick Riordan,Length: 7 hrs and 55 mins
He Who Fights with Monsters 8,"Shirtaloon,Travis Deverell",Length: 18 hrs and 12 mins
The 21 Irrefutable Laws of Leadership: 25th Anniversary,John C. Maxwell,Length: 9 hrs and 32 mins
Greenlights,Matthew McConaughey,Length: 6 hrs and 42 mins
Black Heart,Anna-Lou Weatherley,Length: 9 hrs and 4 mins
Lone Wolf,Gregg Hurwitz,Length: 13 hrs and 13 mins
The Body Keeps the Score,Bessel A. van der Kolk,Length: 16 hrs and 15 mins
Too Late,Colleen Hoover,Length: 10 hrs and 19 mins
Killing Time,Jodi Taylor,Length: 10 hrs
The Friendship Club,Robyn Carr,Length: 9 hrs and 49 mins
Butcher & Blackbird,Brynne Weaver,Length: 8 hrs and 43 mins
Magus of the North,Cale Plamann,Length: 12 hrs and 17 mins
The Last Adventure,"Maxime J. Durand,Void Herald",Length: 15 hrs and 38 mins
A Court of Thorns and Roses (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 6 hrs and 4 mins
Marriage Lynx,Fiona Quinn,Length: 9 hrs and 7 mins
Slayers: A Buffyverse Story,"Christopher Golden,Amber Benson",Length: 8 hrs and 2 mins
The Dragon's Blade Trilogy,Michael R. Miller,Length: 45 hrs and 58 mins
Fae and Fare,pirateaba,Length: 61 hrs and 4 mins
Remarkably Bright Creatures,Shelby Van Pelt,Length: 11 hrs and 16 mins
Brisingr,Christopher Paolini,Length: 29 hrs and 34 mins
The Sea of Monsters,Rick Riordan,Length: 7 hrs and 55 mins
He Who Fights with Monsters 8,"Shirtaloon,Travis Deverell",Length: 18 hrs and 12 mins
The 21 Irrefutable Laws of Leadership: 25th Anniversary,John C. Maxwell,Length: 9 hrs and 32 mins
Greenlights,Matthew McConaughey,Length: 6 hrs and 42 mins
Black Heart,Anna-Lou Weatherley,Length: 9 hrs and 4 mins
